"filename", "language", "XML", "Properties", "Batch", "Java", "TOML", "JSON", "comment", "blank", "total"
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_menu_slideshow.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_home_selected.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_menu.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_transaction.xml", "XML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_nav_user.xml", "XML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_plus.xml", "XML", 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_search.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_shopping.xml", "XML", 12, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_subject_icon.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/ic_trash.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/item_backround_conner.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/iv_splash_1.xml", "XML", 155, 0, 0, 0, 0, 0, 0, 1, 156
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/process_fill.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/process_plank.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/search_background.xml", "XML", 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/drawable/selected_icon_border.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/activity_main.xml", "XML", 16, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/dialog_create_frist_wallet.xml", "XML", 44, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/dialog_delete_confirmation.xml", "XML", 60, 0, 0, 0, 0, 0, 0, 11, 71
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_budget.xml", "XML", 85, 0, 0, 0, 0, 0, 0, 12, 97
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category.xml", "XML", 84, 0, 0, 0, 0, 0, 0, 11, 95
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category_list.xml", "XML", 85, 0, 0, 0, 0, 0, 0, 11, 96
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_category_selection_bottom_sheet.xml", "XML", 53, 0, 0, 0, 0, 0, 1, 8, 62
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_choose_category.xml", "XML", 76, 0, 0, 0, 0, 0, 0, 10, 86
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_choose_wallet.xml", "XML", 53, 0, 0, 0, 0, 0, 0, 6, 59
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_budget.xml", "XML", 144, 0, 0, 0, 0, 0, 0, 15, 159
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_category.xml", "XML", 97, 0, 0, 0, 0, 0, 1, 11, 109
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_create_transaction.xml", "XML", 206, 0, 0, 0, 0, 0, 0, 25, 231
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_edit_category.xml", "XML", 106, 0, 0, 0, 0, 0, 1, 15, 122
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_edit_transaction.xml", "XML", 203, 0, 0, 0, 0, 0, 0, 26, 229
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_home.xml", "XML", 24, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_login.xml", "XML", 63, 0, 0, 0, 0, 0, 0, 7, 70
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_main.xml", "XML", 39, 0, 0, 0, 0, 0, 0, 5, 44
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_menu.xml", "XML", 51, 0, 0, 0, 0, 0, 0, 5, 56
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_register.xml", "XML", 79, 0, 0, 0, 0, 0, 8, 9, 96
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_splash_step1.xml", "XML", 78, 0, 0, 0, 0, 0, 1, 9, 88
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_transaction.xml", "XML", 98, 0, 0, 0, 0, 0, 0, 11, 109
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_transaction_filter_bottom_sheet.xml", "XML", 182, 0, 0, 0, 0, 0, 1, 15, 198
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_wallet.xml", "XML", 51, 0, 0, 0, 0, 0, 0, 6, 57
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_wallet_detail.xml", "XML", 73, 0, 0, 0, 0, 0, 0, 9, 82
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/fragment_welcome.xml", "XML", 13, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_bottom_filter_sheet.xml", "XML", 109, 0, 0, 0, 0, 0, 0, 4, 113
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_budget.xml", "XML", 45, 0, 0, 0, 0, 0, 0, 7, 52
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_category.xml", "XML", 29, 0, 0, 0, 0, 0, 0, 5, 34
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_date_transaction.xml", "XML", 24, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_day_text.xml", "XML", 15, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_icon.xml", "XML", 16, 0, 0, 0, 0, 0, 1, 5, 22
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_transaction.xml", "XML", 55, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/item_wallet.xml", "XML", 42, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/thienhoang/Documents/android/DATN/NoteAppAndroid/NoteApp_Android/app/src/main/res/layout/subject_item_view.xml", "XML", 34, 0, 0, 0, 0, 0, 0, 6, 40
